# UEB Appendix 2「Word List」— Section 10（縮約）の用例語と、その点字・適用規則。
# 出典: The Rules of Unified English Braille, Third Edition 2024 (ICEB)
#   https://iceb.org/wp-content/uploads/2025/10/Rules-of-Unified-English-Braille-2024.pdf
#   ICEB により Creative Commons ライセンスで公開されている。
# 用途: 英語点訳エンジンの回帰コーパス（tests/ueb_appendix2.rs）。
# 列: 原文 <TAB> 期待する点字 <TAB> 規則番号
Beatrice	⠠⠆⠁⠞⠗⠊⠉⠑	10.6.1, 10.6.5
Beatrix	⠠⠆⠁⠞⠗⠊⠭	10.10.4
beautiful	⠃⠂⠥⠞⠊⠰⠇	10.10.4
be'ave	⠃⠑⠄⠁⠧⠑	10.6.2
beckon	⠃⠑⠉⠅⠕⠝	10.6.1
become	⠆⠉⠕⠍⠑	10.6.1
BEd	⠠⠃⠠⠫	10.6.4
bed	⠃⠫	10.10.4
bedazzle	⠆⠙⠁⠵⠵⠇⠑	10.11.3
bedevil	⠆⠙⠑⠧⠊⠇	10.11.3
bedraggled	⠆⠙⠗⠁⠶⠇⠫	10.10.4
been	⠃⠑⠢	10.6.1, 10.6.8
Beethoven	⠠⠃⠑⠑⠹⠕⠧⠢	10.10.9
befriended	⠆⠋⠗⠊⠢⠙⠫	10.9.2
begging	⠃⠑⠶⠬	10.6.5
begin	⠆⠛⠔	10.6.8
begonia	⠆⠛⠕⠝⠊⠁	10.6.1
behemoth	⠆⠓⠑⠍⠕⠹	10.6.1
bein'	⠆⠊⠝⠄	10.6.10
be'ind	⠃⠑⠄⠔⠙	10.6.8
being	⠆⠬	10.6.1
Belg	⠠⠃⠑⠇⠛	10.6.4
believer	⠆⠇⠊⠑⠧⠻	10.7.4
Belinda	⠠⠆⠇⠔⠙⠁	10.6.2
belligerent	⠃⠑⠇⠇⠊⠛⠻⠢⠞	10.6.1
belowdecks	⠆⠇⠙⠑⠉⠅⠎	10.9.5
Benedict	⠠⠃⠢⠫⠊⠉⠞	10.11.5
beneficent	⠆⠝⠑⠋⠊⠉⠢⠞	10.6.1
benefit	⠃⠢⠑⠋⠊⠞	10.6.1, 10.6.8, 10.10.4
benevolence	⠆⠝⠑⠧⠕⠇⠰⠑	10.10.4
benighted	⠆⠝⠊⠣⠞⠫	10.10.4, 10.11.3
benign	⠆⠝⠊⠛⠝	10.6.8, 10.10.4
benumb	⠆⠝⠥⠍⠃	10.11.3
benzene	⠃⠢⠵⠢⠑	10.10.4
berate	⠆⠗⠁⠞⠑	10.11.3
berated	⠆⠗⠁⠞⠫	10.10.4
bereave	⠆⠗⠂⠧⠑	10.11.3
berth	⠃⠻⠹	10.10.4
best	⠃⠑⠌	10.6.1
bet	⠃⠑⠞	10.6.4
beta	⠆⠞⠁	10.6.1
bethel	⠃⠑⠮⠇	10.6.1
better	⠃⠑⠞⠞⠻	10.6.1
Betws-y-Coed	⠠⠃⠑⠞⠺⠎⠤⠰⠽⠤⠠⠉⠕⠫	10.11.9
Bev	⠠⠃⠑⠧	10.6.4
beverage	⠃⠐⠑⠁⠛⠑	10.7.4
Bighorn	⠠⠃⠊⠛⠓⠕⠗⠝	10.11.1
binary	⠃⠔⠜⠽	10.6.8
binomial	⠃⠔⠕⠍⠊⠁⠇	10.6.8
biofeedback	⠃⠊⠕⠋⠑⠫⠃⠁⠉⠅	10.3.1, 10.11.5
biscuity	⠃⠊⠎⠉⠥⠊⠞⠽	10.8.3, 10.11.7
Bisquick	⠠⠃⠊⠎⠟⠥⠊⠉⠅	10.9.3
Blaenau Ffestiniog	⠠⠃⠇⠁⠢⠁⠥ ⠠⠋⠋⠑⠌⠔⠊⠕⠛	10.11.9
Blakeney	⠠⠃⠇⠁⠅⠢⠑⠽	10.6.8
Blvd	⠰⠠⠃⠇⠧⠙	10.9.8
blessing	⠃⠨⠎⠬	10.8.1
Blindcraft	⠠⠃⠇⠉⠗⠁⠋⠞	10.9.3
blinded	⠃⠇⠔⠙⠫	10.9.2
Blindheim	⠠⠃⠇⠓⠑⠊⠍	10.9.3
blinding	⠃⠇⠔⠙⠬	10.9.2
Blindoc	⠠⠃⠇⠔⠙⠕⠉	10.9.3
blithesome	⠃⠇⠊⠮⠐⠎	10.7.7
blossomed	⠃⠇⠕⠎⠎⠕⠍⠫	10.7.7
blowhard	⠃⠇⠪⠓⠜⠙	10.11.1
blunder	⠃⠇⠐⠥	10.7.9
Bonaparte	⠠⠃⠕⠝⠁⠐⠏⠑	10.7.1
Boone	⠠⠃⠕⠕⠝⠑	10.7.6
borealis	⠃⠕⠗⠂⠇⠊⠎	10.6.5
boredom	⠃⠕⠗⠫⠕⠍	10.4.1, 10.11.7
bother	⠃⠕⠮⠗	10.3.1
bothered	⠃⠕⠮⠗⠫	10.7.2, 10.7.5
bottleneck	⠃⠕⠞⠞⠇⠑⠝⠑⠉⠅	10.11.1
boyfriends	⠃⠕⠽⠋⠗⠎	10.9.5
Braillette	⠠⠃⠗⠇⠞⠞⠑	10.9.3
brailling	⠃⠗⠁⠊⠇⠇⠬	10.9.2
Brigham	⠠⠃⠗⠊⠣⠁⠍	10.11.2, 10.11.7
brighten	⠃⠐⠗⠢	10.7.1
brougham	⠃⠗⠳⠣⠁⠍	10.4.1
bubble	⠃⠥⠆⠇⠑	10.6.5
bureau	⠃⠥⠗⠂⠥	10.6.5
business	⠃⠥⠎⠊⠰⠎	10.6.8, 10.8.1
buts	⠃⠥⠞⠎	10.1.1
bygone	⠃⠽⠛⠐⠕	10.7.6
Caen	⠠⠉⠁⠢	10.6.8
Caernarvon	⠠⠉⠁⠻⠝⠜⠧⠕⠝	10.11.9
calisthenics	⠉⠁⠇⠊⠎⠮⠝⠊⠉⠎	10.10.3
CAN Network	⠠⠠⠉ ⠠⠝⠑⠞⠐⠺	10.1.3
can-can	⠉⠤⠉	10.1.1
cancel	⠉⠨⠑⠇	10.8.1
can't	⠉⠄⠞	10.1.2
Cantonese	⠠⠉⠁⠝⠞⠕⠝⠑⠎⠑	10.7.6
captainess	⠉⠁⠏⠞⠁⠔⠑⠎⠎	10.10.2
carefully	⠉⠜⠑⠰⠇⠇⠽	10.8.1
Caribbean	⠠⠉⠜⠊⠆⠂⠝	10.6.5
carthorse	⠉⠜⠞⠓⠕⠗⠎⠑	10.11.1
casino	⠉⠁⠎⠔⠕	10.6.8
caveat	⠉⠁⠧⠂⠞	10.6.5
CD	⠰⠠⠠⠉⠙	10.9.7
cement	⠉⠑⠰⠞	10.8.1
centime	⠉⠢⠞⠊⠍⠑	10.7.8
centimeter	⠉⠢⠞⠊⠍⠑⠞⠻	10.7.8, 10.11.5
Chad	⠠⠡⠁⠙	10.7.3
changeability	⠡⠁⠝⠛⠂⠃⠊⠇⠰⠽	10.11.7
channel-less	⠡⠁⠝⠝⠑⠇⠤⠇⠑⠎⠎	10.8.1
characterise	⠐⠡⠊⠎⠑	10.7.1
characteristic	⠐⠡⠊⠌⠊⠉	10.7.1
chargeable	⠡⠜⠛⠂⠃⠇⠑	10.11.7
Chatham	⠠⠡⠁⠹⠁⠍	10.11.2, 10.11.7
cheddar	⠡⠫⠙⠜	10.4.1
cheerful	⠡⠑⠻⠰⠇	10.8.1
chemotherapy	⠡⠑⠍⠕⠮⠗⠁⠏⠽	10.7.1, 10.10.9
cherished	⠡⠻⠊⠩⠫	10.4.1
chieftainess	⠡⠊⠑⠋⠞⠁⠔⠑⠎⠎	10.8.4, 10.11.7
chifforobe	⠡⠊⠖⠕⠗⠕⠃⠑	10.3.1
childish	⠡⠊⠇⠙⠊⠩	10.2.1
childlike	⠡⠊⠇⠙⠇⠊⠅⠑	10.1.1
child-like	⠡⠤⠇	10.1.1
child-proof	⠡⠤⠏⠗⠕⠷	10.2.1
child's	⠡⠄⠎	10.2.2
china	⠡⠔⠁	10.6.8
Ch'ing	⠠⠡⠄⠬	10.4.3
Chisholm	⠠⠡⠊⠎⠓⠕⠇⠍	10.11.7
chlordane	⠡⠇⠕⠗⠙⠁⠝⠑	10.7.1, 10.10.9
chockfull	⠡⠕⠉⠅⠰⠇⠇	10.8.1
Chopin	⠠⠡⠕⠏⠔	10.6.8
Chou En-lai	⠠⠡⠳ ⠠⠑⠝⠤⠇⠁⠊	10.6.9
chromosome	⠡⠗⠕⠍⠕⠐⠎	10.7.7
circuity	⠉⠊⠗⠉⠥⠰⠽	10.8.1
citizeness	⠉⠊⠞⠊⠵⠢⠑⠎⠎	10.6.8, 10.8.4, 10.11.7
Clemenceau	⠠⠉⠇⠑⠍⠰⠑⠁⠥	10.10.6
coffee	⠉⠷⠋⠑⠑	10.3.1, 10.6.5, 10.10.3
cofounder	⠉⠕⠋⠨⠙⠻	10.11.5
cohere	⠉⠕⠐⠓	10.7.5
cohered	⠉⠕⠓⠻⠫	10.10.7
coherence	⠉⠕⠓⠻⠰⠑	10.7.5, 10.10.2
colonel	⠉⠕⠇⠕⠝⠑⠇	10.7.6
comfort	⠉⠕⠍⠿⠞	10.3.1
comin'	⠉⠕⠍⠔⠄	10.6.10
commenced	⠉⠕⠍⠍⠰⠑⠙	10.10.6
commencement	⠉⠕⠍⠍⠰⠑⠰⠞	10.8.1
comment	⠉⠕⠍⠰⠞	10.8.1
component	⠉⠕⠍⠏⠕⠝⠢⠞	10.10.7
con	⠉⠕⠝	10.6.1
Con.	⠠⠉⠕⠝⠲	10.6.4
concept	⠒⠉⠑⠏⠞	10.6.1
conch	⠉⠕⠝⠡	10.6.1
cone	⠉⠐⠕	10.6.1, 10.7.6
Conestoga	⠠⠒⠑⠌⠕⠛⠁	10.7.6
coneys	⠉⠐⠕⠽⠎	10.6.1
confusion	⠒⠋⠥⠨⠝	10.8.1
congeal	⠒⠛⠂⠇	10.11.3
congee	⠒⠛⠑⠑	10.10.4
congenial	⠒⠛⠢⠊⠁⠇	10.10.4
